1,a,that (conjunction)
2,aba,center
3,aballos,central
4,aballuor,to centralize
5,abascar,to center
6,abes,mean (noun)
7,abon,middle (adjective)
8,ābon,middle (noun)
9,abor,to be in the middle (of)
10,ābrax,eighty
11,ābrax ābris,eighty-eight times
12,ābrax ābro,eighty-eight
13,ābrax ābros,eighty-eighth
14,ābrax beī,eighty-six
15,ābrax beīis,eighty-six times
16,ābrax beīos,eighty-sixth
17,ābrax cōd,eighty-seven
18,ābrax cōdis,eighty-seven times
19,ābrax cōdos,eighty-seventh
20,ābrax īratis,eighty-one times
21,ābrax īratos,eighty-first
22,ābrax īura,eighty-nine
23,ābrax īuris,eighty-nine times
24,ābrax īuros,eighty-ninth
25,ābrax mis,eighty-three times
26,ābrax mo,eighty-three
27,ābrax mos,eighty-third
28,ābrax nō,eighty-one
29,ābrax pōma,eighty-five
30,ābrax pōmis,eighty-five times
31,ābrax pōmos,eighty-fifth
32,ābrax rax,eighty-two
33,ābrax raxis,eighty-two times
34,ābrax raxos,eighty-second
35,ābrax sēni,eighty-four
36,ābrax sēnios,eighty-fourth
37,ābrax sēnīs,eighty-four times
38,ābraxis,eighty times
39,ābraxos,eightieth
40,ābris,eight times
41,ābro,eight
42,ābro carax,eight-hundred
43,ābro caraxis,eight-hundred times
44,ābro caraxos,eight-hundredth
45,ābro metī,eight-thousand
46,ābro metīis,eight-thousand times
47,ābro metīos,eight-thousandth
48,ābromax,eighteen
49,ābromaxis,eighteen times
50,ābromaxos,eighteenth
51,ābros,eighth
52,acinos,beauty
53,acratos,majority
54,acuīos,poverty
55,adandros,craziness
56,adastos,flexibility
57,aēnon,existence
58,ahārithos,safety
59,ahios,size
60,ahiros,height
61,ahiuthon,bravery
62,ailithon,silence
63,ailithoscor,to silence
64,aillos,softness
65,aimmicon,future (noun)
66,aimminor,observance
67,aincāthon,obedience
68,aincios,kindness / gentleness
69,ainstavon,curiosity
70,ainstos,capacity
71,aintua,fridge
72,aintuon,cold (noun)
73,aīos,where
74,aīrēnon,presence
75,aīrinon,productivity
76,airīvos,humidity
77,aīrros,equality
78,ais,what
79,aitiāmos,youth
80,aixtos,blindness
81,ajosallos,society
82,ajostos,ability
83,ajostra,similarity
84,ajūson,community
85,ajuthēnon,consistency
86,ajuthinon,conductivity
87,ajuvevīon,correspondence
88,ajuvīcnon,confidence
89,aladribos,lustfulness
90,alastos,desireableness
91,ām,because of
92,amanicnos,objectivity
93,amarros,sickness / illness
94,amelios,spirituality
95,aminithor,attentiveness
96,aminor,patience
97,amnicos,anger
98,amnitos,darkness
99,anauros,emptiness
100,anellibos,usefulness
101,anellisīos,uselessness
102,āni,tower
103,anios,who
104,ānirus,surveillance
105,ānithor,to guard / watch over
106,ānithōs,guard
107,ānnon,alarming
108,ānnor,to alarm
109,ānor,to watch
110,ānōs,watcher
111,anucros,sharpness
112,aōs,distance
113,aparos,depth
114,aprumon,activity
115,arambros,speed
116,aramnon,business
117,arancīon,reality
118,arātos,frequency
119,ārax,both
120,araxesos,width
121,āres,everything / all
122,ārīos,everywhere
123,ārnios,everyone / everybody / all
124,āros,every / all
125,ārostaunios,almighty
126,ārusia,ever / always
127,arvebos,handful
128,arvebuor,to manipulate
129,arveburus,manipulation
130,arves,hand
131,arvesci,deal
132,arvescor,to deal
133,arvescōs,dealer
134,ārvīos,everyway
135,arvor,to grab
136,ascāmos,strength
137,asīhārnos,insanity
138,asījostos,inability
139,asīminor,impatience
140,asīstaustos,impossibility
141,asithon,inventiveness
142,asīvēos,injustice
143,asīxedon,indifference
144,astascōs,ownership
145,astauron,awareness
146,astauros,wisdom
147,astaustos,possiblity
148,astavon,consciousness
149,asuffrāton,intelligence
150,athemnuon,aggressiveness
151,aubos,length
152,aulvios,deadliness
153,aunāmo,monster
154,aunāmos,monstrous
155,auni,fear
156,aunia,danger
157,aunios,dangerous
158,auniscon,fearsome
159,auniscor,to fear
160,auniscos,afraid
161,aunor,to frighten
162,aunōs,leader
163,aures,taser
164,auri,shock
165,aurnos,clarity
166,auron,shocking
167,auror,to shock
168,ausia,when
169,avēos,justice
170,avēros,firmness
171,avevīstos,responsibility
172,avinnios,genetics
173,avīos,how / as / like / than
174,avolnos,freedom
175,avon,adrenaline
176,avor,to shake
177,avror,to grasp
178,āx,which (out of two)
179,axedon,difference
180,axēnon,absence
181,axion,warmth
182,axiros,heat
183,axirra / ax.,celsius
184,beī,six
185,beī carax,six-hundred
186,beī caraxis,six-hundred times
187,beī caraxos,six-hundredth
188,beī metī,six-thousand
189,beī metīis,six-thousand times
190,beī metīos,six-thousandth
191,beīis,six times
192,beīmax,sixteen
193,beīmaxis,sixteen times
194,beīmaxos,sixteenth
195,beīos,sixth
196,beīx,sixty
197,beīx ābris,sixty-eight times
198,beīx ābro,sixty-eight
199,beīx ābros,sixty-eighth
200,beīx beī,sixty-six
201,beīx beīis,sixty-six times
202,beīx beīos,sixty-sixth
203,beīx cōd,sixty-seven
204,beīx cōdis,sixty-seven times
205,beīx cōdos,sixty-seventh
206,beīx īratis,sixty-one times
207,beīx īratos,sixty-first
208,beīx īura,sixty-nine
209,beīx īuris,sixty-nine times
210,beīx īuros,sixty-ninth
211,beīx mis,sixty-three times
212,beīx mo,sixty-three
213,beīx mos,sixty-third
214,beīx nō,sixty-one
215,beīx pōma,sixty-five
216,beīx pōmis,sixty-five times
217,beīx pōmos,sixty-fifth
218,beīx rax,sixty-two
219,beīx raxis,sixty-two times
220,beīx raxos,sixty-second
221,beīx sēni,sixty-four
222,beīx sēnios,sixty-fourth
223,beīx sēnīs,sixty-four times
224,beīxis,sixty times
225,beīxos,sixtieth
226,beles,tooth
227,beli,bite
228,belon,bitter
229,belor,to bite
230,belōs,dog
231,blona,yellow / bile
232,cādī,down
233,cādīos,hill
234,cādon,client
235,cādor,to lean
236,caīon,of the people
237,cais,people
238,calīora,human (noun)
239,calīoros,human (adjective)
240,calīos,earth
241,calīscor,to bury
242,calīvi,terrarium
243,calīvira,which belongs to a terrarium
244,calnor,to dry
245,calnus,drug
246,calnuscor,to take drugs
247,calnuscōs,drug user
248,calor,to be dry
249,calus,bone
250,calusis,skeleton
251,cāmīos,jungle
252,cāmo,poison
253,cāmos,poisonous
254,cāmos,thick
255,cāmuor,to thicken
256,caor,to fill
257,caos,full
258,carax,one-hundred
259,caraxis,one-hundred times
260,caraxos,one-hundredth
261,caros,many
262,cator,to hang
263,ce-cohīonillīon nuxta / CCIN,gamma-aminobutyric acid
264,cēa,hate / hatred
265,cēāmo,rage
266,cēascor,to hate
267,cēascōs,enemy
268,cī,in / on / at
269,cīabor,to intermediate
270,cīabrus,intermediation
271,cīanos,fewer / less
272,cīarvon,understanding (adjective)
273,cīarvor,to understand
274,cīarvrus,understanding (noun)
275,cīatos,under
276,ciavos,mirror
277,ciavoscor,to mirror
278,cīculvor,to invade
279,cīculvōs,invader
280,cīculvrus,invasion
281,cīdascor,to lock
282,cīdini,invite
283,cīdinirus,invitation
284,cīdinithon,inclusive
