1,a,that (conjunction)
2,aba,center
3,aballos,central
4,aballuor,to centralize
5,abascar,to center
6,abes,mean (noun)
7,abon,middle (adjective)
8,ābon,middle (noun)
9,abor,to be in the middle (of)
10,ābrax,eighty
11,ābrax ābris,eighty-eight times
12,ābrax ābro,eighty-eight
13,ābrax ābros,eighty-eighth
14,ābrax beī,eighty-six
15,ābrax beīis,eighty-six times
16,ābrax beīos,eighty-sixth
17,ābrax cōd,eighty-seven
18,ābrax cōdis,eighty-seven times
19,ābrax cōdos,eighty-seventh
20,ābrax īratis,eighty-one times
21,ābrax īratos,eighty-first
22,ābrax īura,eighty-nine
23,ābrax īuris,eighty-nine times
24,ābrax īuros,eighty-ninth
25,ābrax mis,eighty-three times
26,ābrax mo,eighty-three
27,ābrax mos,eighty-third
28,ābrax nō,eighty-one
29,ābrax pōma,eighty-five
30,ābrax pōmis,eighty-five times
31,ābrax pōmos,eighty-fifth
32,ābrax rax,eighty-two
33,ābrax raxis,eighty-two times
34,ābrax raxos,eighty-second
35,ābrax sēni,eighty-four
36,ābrax sēnios,eighty-fourth
37,ābrax sēnīs,eighty-four times
38,ābraxis,eighty times
39,ābraxos,eightieth
40,ābris,eight times
41,ābro,eight
42,ābro carax,eight-hundred
43,ābro caraxis,eight-hundred times
44,ābro caraxos,eight-hundredth
45,ābro metī,eight-thousand
46,ābro metīis,eight-thousand times
47,ābro metīos,eight-thousandth
48,ābromax,eighteen
49,ābromaxis,eighteen times
50,ābromaxos,eighteenth
51,ābros,eighth
52,acinos,beauty
53,acratos,majority
54,acuīos,poverty
55,adandros,craziness
56,adastos,flexibility
57,aēnon,existence
58,ahārithos,safety
59,ahios,size
60,ahiuthon,bravery
61,ailithon,silence
62,ailithoscor,to silence
63,aillos,softness
64,aimmicon,future (noun)
65,aimminor,observance
66,aincāthon,obedience
67,aincios,kindness / gentleness
68,ainstavon,curiosity
69,aintuon,cold (noun)
70,aīos,where
71,aīrēnon,presence
72,aīrinon,productivity
73,airīvos,humidity
74,aīrros,equality
75,ais,what
76,aitiāmos,youth
77,aixtos,blindness
78,ajosallos,society
79,ajostos,ability
80,ajostra,similarity
81,ajūson,community
82,ajuthēnon,consistency
83,ajuthinon,conductivity
84,ajuvevīon,correspondence
85,ajuvīcnon,confidence
86,aladribos,lustfulness
87,alastos,desireableness
88,ām,because of
89,amanicnos,objectivity
90,amarros,sickness / illness
91,amelios,spirituality
92,aminithor,attentiveness
93,aminor,patience
94,amnicos,anger
95,amnitos,darkness
96,anauros,emptiness
97,anellibos,usefulness
98,anellisīos,uselessness
99,āni,tower
100,anios,who
101,ānithor,to guard / watch over
102,ānithōs,guard
103,ānor,to watch
104,ānōs,watcher
105,anucros,sharpness
106,aōs,distance
107,aparos,depth
108,aprumon,activity
109,aramnon,business
110,arancīon,reality
111,ārax,both
112,araxesos,width
113,āres,everything / all
114,ārīos,everywhere
115,ārnios,everyone / everybody / all
116,āros,every / all
117,ārusia,ever / always
118,arvebos,handful
119,arvebuor,to manipulate
120,arveburus,manipulation
121,arves,hand
122,arvesci,deal
123,arvescor,to deal
124,arvescōs,dealer
125,ārvīos,everyway
126,arvor,to grab
127,ascāmos,strength
128,asīhārnos,insanity
129,asījostos,inability
130,asīminor,impatience
131,asīstaustos,impossibility
132,asithon,inventiveness
133,asīvēos,injustice
134,asīxedon,indifference
135,astascōs,ownership
136,astauron,awareness
137,astauros,wisdom
138,astaustos,possiblity
139,astavon,consciousness
140,asuffrāton,intelligence
141,athemnuon,aggressiveness
142,aubos,length
143,aulvios,deadliness
144,aunāmo,monster
145,aunāmos,monstrous
146,auni,fear
147,aunia,danger
148,aunios,dangerous
149,auniscon,fearsome
150,auniscor,to fear
151,auniscos,afraid
152,aunor,to frighten
153,aunōs,leader
154,aures,taser
155,auri,shock
156,aurnos,clarity
157,auron,shocking
158,auror,to shock
159,ausia,when
160,avēos,justice
161,avēros,firmness
162,avevīstos,responsibility
163,avinnios,genetics
164,avīos,how / as / like / than
165,avolnos,freedom
166,avor,to shake
167,āx,which (out of two)
168,axedon,difference
169,axēnon,absence
170,axion,warmth
171,beī,six
172,beī carax,six-hundred
173,beī caraxis,six-hundred times
174,beī caraxos,six-hundredth
175,beī metī,six-thousand
176,beī metīis,six-thousand times
177,beī metīos,six-thousandth
178,beīis,six times
179,beīmax,sixteen
180,beīmaxis,sixteen times
181,beīmaxos,sixteenth
182,beīos,sixth
183,beīx,sixty
184,beīx ābris,sixty-eight times
185,beīx ābro,sixty-eight
186,beīx ābros,sixty-eighth
187,beīx beī,sixty-six
188,beīx beīis,sixty-six times
189,beīx beīos,sixty-sixth
190,beīx cōd,sixty-seven
191,beīx cōdis,sixty-seven times
192,beīx cōdos,sixty-seventh
193,beīx īratis,sixty-one times
194,beīx īratos,sixty-first
195,beīx īura,sixty-nine
196,beīx īuris,sixty-nine times
197,beīx īuros,sixty-ninth
198,beīx mis,sixty-three times
199,beīx mo,sixty-three
200,beīx mos,sixty-third
201,beīx nō,sixty-one
202,beīx pōma,sixty-five
203,beīx pōmis,sixty-five times
204,beīx pōmos,sixty-fifth
205,beīx rax,sixty-two
206,beīx raxis,sixty-two times
207,beīx raxos,sixty-second
208,beīx sēni,sixty-four
209,beīx sēnios,sixty-fourth
210,beīx sēnīs,sixty-four times
211,beīxis,sixty times
212,beīxos,sixtieth
213,beles,tooth
214,beli,bite
215,belon,bitter
216,belor,to bite
217,belōs,dog
218,cādī,down
219,cādīos,hill
220,cādon,client
221,cādor,to lean
222,caīon,of the people
223,cais,people
224,calīora,human (noun)
225,calīoros,human (adjective)
226,calīos,earth
227,calīscor,to bury
228,calīvi,terrarium
229,calīvira,which belongs to a terrarium
230,calnor,to dry
231,calnus,drug
232,calnuscor,to take drugs
233,calnuscōs,drug user
234,calor,to be dry
235,calus,bone
236,calusis,skeleton
237,cāmīos,jungle
238,cāmo,poison
239,cāmos,poisonous
240,cāmos,thick
241,caor,to fill
242,caos,full
243,carax,one-hundred
244,caraxis,one-hundred times
245,caraxos,one-hundredth
246,caros,many
247,cator,to hang
248,cēa,hate / hatred
249,cēascor,to hate
250,cēascōs,enemy
251,cī,in / on / at
252,cīabor,to intermediate
253,cīabrus,intermediation
254,cīarvon,understanding (adjective)
255,cīarvor,to understand
256,cīarvrus,understanding (noun)
257,cīatos,under
258,ciavos,mirror
259,ciavoscor,to mirror
260,cīculvor,to invade
261,cīculvōs,invader
262,cīculvrus,invasion
263,cīdini,invite
264,cīdinirus,invitation
265,cīdinithon,inclusive
266,cīdinithor,to include
267,cīdinithrus,inclusion
268,cīdinor,to invite
269,cīemior,to keep
270,cies,eye
271,ciesci,look
272,ciescor,to look
273,ciesīon,glass
274,cīhebon,impressive
275,cīhebor,to impress
276,cīhebus,imprint
277,cīhebos,impressed
278,cīhebrus,impression
279,cīhius,embryo
280,cīlor,to suck
281,cīnicor,to incubate
282,cīnicōs,incubator
283,cīnicror,to move in
284,cīnīora,prisoner
285,cīnīos,prison
